CREDIT:, North London Waste Authority, https://www.nlwa.gov.uk/our-office, By: Abdul
Baked goods,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/baked-goods,baked goods,"If your local council provides a food waste collection service where you live, you can dispose of food waste in your food bin. All types of food can go in the bin but please do not add: any kind of plastic or packaging, liquids including liquid fat/oil, and garden waste including wood or cut flowers. If you do not have a food waste service, cooked foods like this would need to go in your general waste bin."
Bathroom cleaner bottles,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/bathroom-cleaner-bottles,bathroom cleaner bottles,"These can be recycled at home. Empty and rinse well, remove cardboard packaging but labels can be left on."
Bathroom suites,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/bathroom-suites,bathroom suits,"If the bathroom suite is in good condition, it could be sold or donated for reuse or to charity. Some local authorities and charities might even collect reusable items from your home. Alternatively, you could take it to one of north London's reuse and recycling centres (RRC) or make use of your local council's bulky collection service."
Batteries,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/batteries,household batteries,"Household batteries are difficult products to recycle because they are made from so many different materials and are hazardous too - they need specialist handling. The specification for the Materials Recovery . You can take used batteries to be recycled at certain retailers. From February 2010, any shop selling more than 32kg of batteries a year (approximately 345 x four-packs of AA batteries each year) have to provide battery recycling collection facilities in-store. Lithium batteries (used in things like laptops) must be placed in a plastic bag before going into a battery recycling bin because they cause fire risk when mixed with other battery types. Facilities (MRFs), which sort north Londoners’ recycling into the different individual materials does not include batteries. The environmental permits for the MRFs that we use also do not permit them to accept hazardous waste, so please do not include batteries in the recycling. If found in the recycling batteries are classified as a contaminant in recycling loads.Find your nearest battery recycling point by visiting the Recycle Now website."
Beans,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/beans,beans,"If your local council provides a food waste collection service where you live, you can dispose of food waste in your food bin. All types of food can go in the bin but please do not add: any kind of plastic or packaging, liquids including liquid fat/oil, and garden waste including wood or cut flowers. If you do not have a food waste service, cooked foods like this would need to go in your general waste bin."
Bedding,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/bedding,bedding,"Sheets and blankets in good condition can be sold online, given away to or donated to charity. Alternatively, they can be deposited in one of north London's on-street collection banks or taken to a reuse and recycling centre (RRC) where they will be sorted and recycled. Duvets or pillows unfortunately cannot be recycled and would need to be taken to an RRC."
Beds,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/beds,bed,"If furniture is in good condition, it could be sold or donated for reuse or to charity. Some local authorities and charities might even collect reusable items from your home. Please note that any furniture containing upholstery needs to have a fire label on it, or it cannot be reused (see Reuse Network website page for more information). Alternatively, you could take it to one of north London's reuse and recycling centres (RRC) or make use of your local council's bulky collection service."
Beer Bottles,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/beer-bottles,beer bottles,All colours of glass can be recycled at home. Please just empty and rinse.
Bikes,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/bikes,"bikes, bicycle, bicycles","Please take bikes that could be used again to a north London's reuse and recycling centre (RRC). They will be taken to be sold at our reuse shop, Second Time Around, at Kings Road RRC. If you have a bike that cannot be used again, take it to an RRC for recycling/disposal."
Biros,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/biros,biros,"We can't recycle pens so please put them in your general waste. Alternatively, any brand of pen, correction fluid pots, markers and highlighters can be recycled through TerraCycle where there are a number of drop-off locations."
Birthday cards,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/birthday-cards,"birthday cards, greeting cards, Christmas cards","As long as they are not shiny and don't have glitter on them, gift cards can be recycled. Shiny/glittery ones need to go in the general waste bin."
Biscuit tins,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/biscuit-tins,biscuit tins,These can be recycled at home. Please just make sure they are clean. Labels can be left on.
Biscuit trays,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/biscuit-trays,biscuit trays,These can be recycled at home. Please just make sure they are clean. Labels can be left on.
Biscuits,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/biscuits,biscuits,"If your local council provides a food waste collection service where you live, you can dispose of food waste in your food bin. All types of food can go in the bin but please do not add: any kind of plastic or packaging, liquids including liquid fat/oil, and garden waste including wood or cut flowers. If you do not have a food waste service, cooked foods like this would need to go in your general waste bin."
Black bags,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/black-bags,black bags,"Black bags can be used to store/transport general waste but should not be used to store recycling. The north London boroughs have to deal with the problem of waste wrongly placed in the recycling bin, including waste in black bin bags. For the avoidance of doubt, all black bags found in recycling bins will be disposed of."
Black food trays,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/black-food-trays,black food trays,"All the material we list in the information provided to households as ‘acceptable for recycling’ is included in the specification list of materials accepted by the Materials Recovery Facilities (MRFs) that we use to sort the recycling from north London homes, so it can be recycled. Not every local authority includes black trays in their mixed recycling. However, in north London, black plastic trays can be put into the recycling. This is because the specification for the MRFs, which sort north Londoners’ recycling into the different individual materials, includes black plastic. So, if black plastic is clean, it is not a contaminant in recycling loads."
Blankets,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/blankets,blankets,"Sheets and blankets in good condition can be sold online, given away or donated to charity. Alternatively, they can be deposited in one of north London's on-street textile collection banks or taken to a reuse and recycling centre (RRC) where they will be sorted."
Bleach bottles,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/bleach-bottles,bleach bottles,"These can be recycled at home. Empty and rinse well, remove cardboard packaging but labels can be left on."
Bones,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/bones,bones,"If your local council provides a food waste collection service where you live, you can dispose of food waste in your food bin. All types of food can go in the bin but please do not add: any kind of plastic or packaging, liquids including liquid fat/oil, and garden waste including wood or cut flowers. If you do not have a food waste service, the bones would need to go in your general waste bin."
Books,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/books,books,"Books that are in good condition could be sold or reused by donating to charity, or taking to a north London reuse and recycling centre. However, if they are not reusable, books can go into your recycling bin. Please just make sure they have no dirt, foodstuffs, grease or paint on them (if so, they would need to go in your general waste bin)."
Boots,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/boots,boots,"Good quality clothing or shoes could be sold online, given away or donated to charity. Alternatively, even if they are not in good condition, they can be deposited in one of north London's on-street collection banks or taken to a reuse and recycling centre (RRC)."
Bottles,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/bottles,bottles,"Plastic and glass bottles can be recycled at home. Empty and rinse well, remove cardboard packaging but labels can be left on"
Bras,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/bras,bras,Bras in 'new' condition which have not been worn can be sold online or given away. Some charity shops will accept used bras or you can take them to one of north London's on-street collection banks or to a reuse and recycling centre (RRC) to be reused or recycled.
Bread,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/bread,bread,"If your local council provides a food waste collection service where you live, you can dispose of food waste in your food bin. All types of food can go in the bin but please do not add: any kind of plastic or packaging, liquids including liquid fat/oil, and garden waste including wood or cut flowers. If you do not have a food waste service, cooked foods like this would need to go in your general waste bin."
Bric a brac,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/bric-brac,bric a brac,"Small household items that are in good condition could be sold or reused by donating to charity, or taking to a north London reuse and recycling centre. If the item is not reusable, it can be disposed of in your general waste bin."
Bricks,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/bricks,bricks,"This can be taken to one of north London's reuse and recycling centres (RRC) where you can recycle hardcore material such as rubble, concrete and soil. There is a limit to the number of bags of hardcore each household can take to be recycled. Read more on our Hardcore and rubble page."
Brochures,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/brochures,brochures,"These can be recycled at home. Please just make sure they have no dirt, foodstuffs, grease or paint on them."
Brown Paper,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/brown-paper,brown paper,"This can be recycled at home. Please just make sure it has no dirt, foodstuffs, grease or paint on it."
Brown plant pots,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/brown-plant-pots,brown flower pots,"These are not included in the specification for the Materials Recovery Facilities (MRFs), which sort the recycling into different materials. They are not accepted because plant pots are made of a type of plastic that the MRFs don’t have a recycling outlet for, i.e. there’s nowhere for the MRFs to send them to where they can economically be made into new products. Some garden centres will take back previously used plant pots for re-use. Alternatively please include them in the general waste bin."
Bubble wrap,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/bubble-wrap,bubble wrap,Thin plastic like bubble wrap is made from low-quality plastic and is not recycled. Please reuse it or put it in your general waste.
Building materials,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/building-materials,building materials,"Small amounts of DIY waste and building materials can be taken to one of north London's reuse and recycling centres (RRC) where you can recycle hardcore material such as rubble, concrete and soil. Each north London household can take up to six standard rubble sacks of soil and six standard rubble sacks of rubble to an RRC each month. A standard rubble sack is 20” by 30” sack or equivalent. Commercial building waste cannot be taken to an RRC. For larger projects we advise hiring a skip, most skip providers will usually sort and recycle materials for you."
Bulky Household Items,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/bulky-household-items,bulky household items,"If they're in good condition, bulky household items could be sold online, taken to a charity shop or given away on Freecycle or Freegle. Some local authorities and charities might even collect reusable items from your home. To recycle large waste electrical items you can book a free collection from your doorstep through Clearabee. For more information visit our page about recycling electrical items. You can also take reusable furniture to one of north London’s reuse and recycling centres (RRCs) where they can be put aside and sold in our reuse shop, Second Time Around. If your item is not reusable, you can take it to an RRC where it will be recycled where possible, or make use of your local council's bulky collection service. There can be a charge for the bulky waste collection services."
Business Waste,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/business-waste,"business waste, commercial waste, trade waste,",Any property that is commercially rated must pay for the removal of their waste by a licensed waste carrier. You can either ask your local council or a private waste disposal/recycling company to collect it or take it to a private waste disposal/recycling facility yourself. Check out our business pages for more information: http://wiseuptowaste.org.uk/businesses/
Buttons,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/buttons,buttons,"Keep buttons yourself to update old clothes, try giving them away or selling them online, or donate them to a charity shop."
Cakes,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/cakes,cakes,"If your local council provides a food waste collection service where you live, you can dispose of food waste in your food bin. All types of food can go in the bin but please do not add: any kind of plastic or packaging, liquids including liquid fat/oil, and garden waste including wood or cut flowers. If you do not have a food waste service, cooked foods like this would need to go in your general waste bin."
Car batteries,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/car-batteries,car batteries,Car batteries can be taken to one of north London's reuse and recycling centres (RRC) where they can be recycled. Do handle with care as car batteries contain acid. You can also ask the garage to take back the old one when you purchase a new battery.
Cardboard boxes,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/cardboard-boxes,"cardboard boxes, boxes, dishwasher tablets boxes,","These can be recycled at home. Please just make sure they have no dirt, foodstuffs, grease or paint on them. It is also helpful if you remove excess sticky tape (a small amount is okay)."
Carpet,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/carpet,carpet,You can dispose of this at one of north London's reuse and recycling centres (RRC) or make use of your local council's bulky collection service.
Carrier bags,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/carrier-bags,"carrier bags, plastic bag, plastic bags","The quality of plastic in carrier bags is relatively poor compared to pots and tubs. You can put them in with your recycling, but at the moment, we have not been able to find a suitable re-processor to buy them so they will not be recycled. We only sell materials to re-processors who can provide us information about the end destination of the recycling.The best thing to do with carrier bags is reuse them as much as possible in the first instance, and try to use reusable bags instead. Some supermarkets will recycle carrier bags. Use the Recycle Now locator to search for a carrier bag recycling point near you."
Cars,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/cars,cars,"If your car is in a road-worthy condition, you may be able to sell it privately or trade-in when you buy a new one. If your car is at the end of its life, you may find a local scrap dealer who is willing to buy it from you or you could donate it to charity via schemes such as Charity Car and Giveacar."
Cartons,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/cartons,"cartons, drink cartons, tetra pak","Most cartons can be recycled in north London. Please give items a quick rinse, make sure they have no dirt, foodstuffs, grease or paint on them, and remove plastic tops or straws. Items that can be recycled .Drinks cartons e.g. juice or milk Food cartons e.g. soup Items that cannot be recycled .Laminated plastic food/drink pouches e.g. baby food, cat food, or coffee pouches. However, some laminated pouches can be recycled through Terracycle."
Cassette players,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/cassette-players,cassette players,"Small electrical items that are in good condition could be sold or donated for reuse or to charity. If the items is not reusable, it can be taken to an on-street electricals collection bank or to one of north London's reuse and recycling centres (RRC) to be recycled. For more information visit our page about recycling electrical items."
Cassette tapes,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/cassette-tapes,cassette tapes,"Some charity shops might take cassette tapes but many will not. If you are unable to find any other way to reuse them, cassette tapes will have to go in the general waste."
Cat food pouches,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/cat-food-pouches,cat food pouches,"Laminated food pouches are made from a combination of aluminium and plastic. We do not have the technology to recycle them in north London. Some laminated pouches can be recycled through TerraCycle where there are a number of drop-off locations. Alternatively, please put them in your general waste."
Cat litter,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/cat-litter,"cat litter, pet litter",Cat litter cannot be recycled so put it in your general waste (non recyclable) bin at home. There are compostable varieties of cat litter but it cannot go into the food or garden waste collected by the council. This is because it could contain urine and faeces and therefore does not meet the acceptance criteria for our composting facilities. Residents who wish to compost it at home should remove faeces (to prevent disease) and only add small quantities to ensure there’s a good carbon/nitrogen balance.
Catalogues,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/catalogues,catalogues,"These can be recycled at home. Please just make sure they have no dirt, foodstuffs, grease or paint on them."
CD Players,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/cd-players,cd players,"Small electrical items that are in good condition could be sold or donated for reuse or to charity. If the items is not reusable, it can be taken to an on-street electricals collection bank or to one of north London's reuse and recycling centres (RRC) to be recycled. For more information visit our page about recycling electrical items."
CDs,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/cds,CDs,"If they're in good condition, CDs could be sold online, taken to a charity shop or given away on Freecycle or Freegle or commercial websites. If you cannot find any way to reuse them please dispose of them in the general rubbish bin."
Ceramics,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/ceramics,"ceramics, Earthenware, crockery","If they're in good condition, ceramics/crockery/earthenware could be sold online, taken to a charity shop or given away on Freecycle or Freegle. If broken or not in good condition, they can be taken to one of north London's reuse and recycling centres (RRCs) where they can go in the 'hardcore and rubble' skip."
Cereal boxes,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/cereal-boxes,cereal boxes,"These can be recycled at home. Please just make sure they have no dirt, foodstuffs, grease or paint on them."
Chairs,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/chairs,chair,"If furniture is in good condition, it could be sold or donated for reuse or to charity. Some local authorities and charities might even collect reusable items from your home. Please note that any furniture containing upholstery needs to have a fire label on it, or it cannot be reused (see Reuse Network for more information). Alternatively, you could take it to one of north London's reuse and recycling centres (RRC) or make use of your local council's bulky collection service."
Chemicals,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/chemicals,chemicals,"Chemicals are classed as 'hazardous' waste. Make sure that container lids are secured, and if possible, that containers have a label. You will need to use the free City of London Hazardous Waste Service."
Chest freezers,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/chest-freezers,chest freezers,"If large electrical appliances are in good condition, they could be sold or donated for reuse or to charity. Some local authorities and charities might even collect reusable items from your home. If the item is not reusable, there are lots of ways to recycle it, including a free collection through Clearabee. For more information visit our page about recycling electrical items."
Chest of drawers,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/chest-drawers,chest of drawers,"If furniture is in good condition, it could be sold or donated for reuse or to charity. Some local authorities and charities might even collect reusable items from your home. If the item is not reusable, you could take it to one of north London's reuse and recycling centres (RRC) or make use of your local council's bulky collection service."
Chicken Carcasses,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/chicken-carcasses,chicken carcasses,"If your local council provides a food waste collection service where you live, you can dispose of food waste in your food bin. All types of food can go in the bin but please do not add: any kind of plastic or packaging, liquids including liquid fat/oil, and garden waste including wood or cut flowers. If you do not have a food waste service, the carcass would need to go in your general waste bin."
Children's games,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/childrens-games,childrens games,"If they're in good condition, children's games could be sold online, taken to a charity shop or given away on Freecycle or Freegle. However, if the items are not reusable, any recyclable parts should be put in the recycling bin (such as paper or card) and the rest can be disposed of in your general waste bin."
Chocolate tins,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/chocolate-tins,chocolate tins,These can be recycled at home. Please just make sure they are clean. Labels can be left on.
Chocolate trays,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/chocolate-trays,chocolate trays,These can be recycled at home. Please just make sure they are clean. Labels can be left on.
Christmas cards,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/christmas-cards,christmas cards,"As long as they are not shiny and have no glitter on them, gift cards can be recycled. Shiny/glittery ones need to go in the general waste bin."
Christmas decorations,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/christmas-decorations,christmas decorations,"Christmas decorations that are in good condition could be sold or donated for reuse or to charity. If the items are not reusable, they can be disposed of in your general waste bin."
Christmas tree (plastic),https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/christmas-tree-plastic,christmas tree,"If you have a plastic Christmas tree that is in good condition, it could be sold or donated for reuse or to charity. If the item is not reusable, you could take it to one of north London's reuse and recycling centres (RRC) or make use of your local council's bulky collection service."
Christmas tree (real),https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/christmas-tree-real,christmas tree real,"Christmas trees can be taken to one of north London's reuse and recycling centres (RRC). Or if your local council provides a garden waste collection service where you live, the tree can be chopped up and added to your garden waste bin. Some local councils will run a separate Christmas tree collection service during January. Check your council's website to find out."
Christmas tree lights,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/christmas-tree-lights,christmas tree lights,"Small electrical items that are in good condition could be sold or donated for reuse or to charity. If the items is not reusable, it can be taken to an on-street electricals collection bank or to one of north London's reuse and recycling centres (RRC) to be recycled.For more information visit our page about recycling electrical items."
Cleaning product bottles,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/cleaning-product-bottles,cleaning product bottles,"These can be recycled at home. Empty and rinse well, remove cardboard packaging but labels can be left on."
Clear plastic packaging,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/clear-plastic-packaging,clear plastic packaging,"This can be recycled at home. Please just give them a quick rinse to make sure there is no food left inside. Remove film lids, absorbent pads and any cardboard packaging but labels can be left on."
Clingfilm,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/clingfilm,"clingfilm, plastic wrap, cellophane, plastic wrapping",Thin plastic film like clingfilm cannot be recycled. This is partly because they are made from low-quality plastic but also because it might be dirty with leftover food. Please put it in your general waste.
Cloth nappies,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/cloth-nappies,"cloth nappy, reusable nappy, reusable nappies, terries nappies","Cloth nappies in good condition can be sold online, given away to or donated to charity. If they can no longer be used, they can be deposited in one of north London's on-street collection banks or taken to a reuse and recycling centre (RRC) where they will be sorted and recycled.NLWA runs a subsidy scheme for parents or parents-to-be to purchase and test real nappies."
Clothes,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/clothes,clothes,"Good quality clothing or shoes could be sold online, given away or donated to charity. Alternatively, even if they are not in good condition, they can be deposited in one of north London's on-street collection banks (search on the Recycle Now website) or taken to a reuse and recycling centre (RRC)."
Coat hangers,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/coat-hangers,coat hangers,"Coat hangers can be made from various materials - wood, metal or plastic. If you don’t need them they can often be donated to charity shops or given to dry cleaners and retailers who will use them again.If they cannot be reused, metal or wooden ones can be taken to one of the north London reuse and recycling centres to be recycled, and plastic ones can go in your general waste bin. Coat hangers should not be put in with your household recycling because it is difficult to separate them and they easily get caught in the Materials Recovery Facility machinery."
Coffee filters,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/coffee-filters,coffee filters,"If your local council provides a food waste collection service where you live, you can dispose of food waste in your food bin, including paper coffee filters. All types of food can go in the bin but please do not add: any kind of plastic or packaging, liquids including liquid fat/oil, and garden waste including wood or cut flowers. If you do not have a food waste services, food would have to go in your general waste bin - or if you have space, subsidised home composters or wormeries can be purchased from your local council, enabling you to dispose of organic waste like fruit and vegetable peel."
Coffee grounds,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/coffee-grounds,coffee grounds,"If your local council provides a food waste collection service where you live, you can dispose of food waste in your food bin. All types of food can go in the bin but please do not add: any kind of plastic or packaging, liquids including liquid fat/oil, and garden waste including wood or cut flowers."
Coffee pods,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/coffee-pods,"coffee pod, coffee capsules, coffee capsule","These cannot be recycled at home. They are increasingly made solely from aluminium but the coffee grounds inside are difficult to extract. However, some types/brands of coffee pods (and other difficult-to-recycle items) are collected by a company called TerraCycle who recycle them to create new products such as plastic baby bibs, notebook covers and park benches. Alternatively, the pods can go in your general waste."
Coffee pouches,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/coffee-pouches,coffee pouches,"Laminated food pouches are made from a combination of aluminium and plastic. We do not have the technology to recycle them in north London but some brands can be recycled under the Terracycle recycling schemes (visit https://www.terracycle.com/en-GB/brigades). Alternatively, please put them in your general waste."
Coins,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/coins,coins,Foreign coins and out of date British currency can be taken to your local charity shop. Many banks will collect them too - ask your local branch for details.
Commercial waste,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/commercial-waste,commercial waste,"Any property that is commercially rated must pay for the removal of their waste by a licensed waste carrier. You can either ask your local council or a private waste disposal/recycling company to collect it or take it to a private waste disposal/recycling facility yourself.Commercial (trade) waste is not accepted at any of our RRCs. However, there are some local facilities that do accept trade waste, which you can find a list of here. Please note that this list has been provided in good faith, but should not be taken as exhaustive or as an endorsement of the companies listed."
Compost bins,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/compost-bins,compost bins,"Getting a home compost bin is an easy, low-cost way to dispose of organic kitchen and garden waste. They can be bought from your local council at a subsidised rate, or from garden centres and DIY stores. If you no longer need a compost bin but it could be reused by someone else, consider giving it away or selling it online. If the bin is broken, it can be taken to one of north London's reuse and recycling centres (RRC)."
Compostable plastic,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/compostable-plastic,compostable plastic,"Compostable plastic is a material made from renewable materials such as vegetable starch and soy protein. Compostable plastic should be put into your general waste and not your food waste or garden waste. This is because in north London food waste is processed in anaerobic digestion (AD) facilities and mixed food and garden waste goes to in-vessel composting (IVC) facilities. All packaging (compostable liners / Vegware / plastic bags) is removed from food and garden waste by ‘de-packaging’ machinery and disposed of. This has to be done because non-compostable items are often put into the food/garden waste when they shouldn’t be, causing contamination. The de-packaging machinery we use is not currently able to distinguish between compostable and non-compostable packaging when removing contaminants."
Computer keyboards,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/computer-keyboards,computer keyboards,"Small electrical items that are in good condition could be sold or donated for reuse or to charity. If the item is not reusable, it can be taken to one of north London's reuse and recycling centres (RRC) or you can place it one of the small Waste Electrical and Electronic (WEEE) banks around north London."
Computer monitors,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/computer-monitors,computer monitors,"If you have a household electrical item that is in good condition, it could be sold or donated for reuse or to charity. If the items is not reusable, it can be taken to one of north London's reuse and recycling centres (RRC) or make use of your local council's bulky collection service. Or for information about how to dispose of larger electrical, including a free collection from Clearabee visit our page about recycling electrical items."
